,site_code,depth,survey_year,Transect.level.kelp,count,,,absent,,forest,,understory,,,
15,BMSC11,5.5,2021,absent,0,,2021,0.666666667,12,0.5,1,0.666666667,2,,15
22,BMSC12,5.5,2021,absent,0,,2022,0.333333333,7,0,0,0,0,,7
29,BMSC13,4.8,2021,absent,0,,2023,2.807692308,73,10.66666667,32,21,21,,126
30,BMSC14,6,2021,absent,0,,2024,0.677419355,21,2.75,11,1,2,,34
38,BMSC16,6,2021,absent,0,,,,,,,,,,
43,BMSC18,7.5,2021,absent,0,,,,,,,,,,
47,BMSC19,8,2021,absent,2,,11,,,,,,,,
51,BMSC2,4.5,2021,absent,0,,7,,,,,,,,
100,BMSC6,7,2021,absent,0,,2,,,,,,,,
105,BMSC7,5,2021,absent,1,,3,,,,,,,,
112,BMSC9,6,2021,absent,0,,,,,,,,,,
1,BMSC1,4,2021,forest,0,,,,,,,,,,
34,BMSC15,7,2021,forest,1,,,,,,,,,,
5,BMSC1,5.5,2021,low,5,,,,,,,,,,
8,BMSC1,6.5,2021,low,4,,,,,,,,,,
56,BMSC20,7,2021,low,0,,,,,,,,,,
58,BMSC21,5,2021,low,0,,,,,,,,,,
63,BMSC22,6.5,2021,low,0,,,,,,,,,,
83,BMSC3,5.5,2021,low,0,,,,,,,,,,
110,BMSC8,9,2021,low,0,,,,,,,,,,
40,BMSC17,5,2021,understory,0,,,,,,,,,,
87,BMSC4,7.5,2021,understory,0,,,,,,,,,,
95,BMSC5,6.5,2021,understory,2,,,,,,,,,,
13,BMSC11,4,2022,absent,0,,,,,,,,,,
19,BMSC11,8.5,2022,absent,0,,,,,,,,,,
21,BMSC12,5,2022,absent,3,,,,,,,,,,
25,BMSC12,9,2022,absent,0,,,,,,,,,,
28,BMSC13,4.5,2022,absent,0,,,,,,,,,,
32,BMSC14,7,2022,absent,0,,,,,,,,,,
37,BMSC16,5.5,2022,absent,0,,,,,,,,,,
44,BMSC18,7.5,2022,absent,0,,,,,,,,,,
48,BMSC19,8,2022,absent,0,,,,,,,,,,
65,BMSC23,6.5,2022,absent,0,,,,,,,,,,
85,BMSC3,6.5,2022,absent,0,,,,,,,,,,
99,BMSC6,6.5,2022,absent,0,,,,,,,,,,
102,BMSC6,9,2022,absent,0,,,,,,,,,,
106,BMSC8,6,2022,absent,0,,,,,,,,,,
114,BMSC9,6.5,2022,absent,0,,,,,,,,,,
35,BMSC15,7.5,2022,forest,0,,,,,,,,,,
2,BMSC1,4.7,2022,low,0,,,,,,,,,,
6,BMSC1,5.5,2022,low,2,,,,,,,,,,
53,BMSC20,6.5,2022,low,0,,,,,,,,,,
57,BMSC21,4.5,2022,low,1,,,,,,,,,,
91,BMSC5,6,2022,low,0,,,,,,,,,,
94,BMSC5,6.2,2022,low,1,,,,,,,,,,
3,BMSC1,5,2022,understory,0,,,,,,,,,,
41,BMSC17,5,2022,understory,0,,,,,,,,,,
64,BMSC22,8.3,2022,understory,0,,,,,,,,,,
7,BMSC1,5.5,2023,absent,11,,,,,,,,,,
10,BMSC1,8,2023,absent,7,,,,,,,,,,
23,BMSC12,6.5,2023,absent,3,,,,,,,,,,
26,BMSC12,9,2023,absent,3,,,,,,,,,,
46,BMSC19,6.5,2023,absent,0,,,,,,,,,,
52,BMSC2,7,2023,absent,4,,,,,,,,,,
54,BMSC20,6.5,2023,absent,2,,,,,,,,,,
59,BMSC21,6,2023,absent,1,,,,,,,,,,
67,BMSC23,7,2023,absent,1,,,,,,,,,,
69,BMSC24,7.5,2023,absent,0,,,,,,,,,,
71,BMSC24,11,2023,absent,0,,,,,,,,,,
72,BMSC25,5.5,2023,absent,0,,,,,,,,,,
74,BMSC25,5.7,2023,absent,0,,,,,,,,,,
80,BMSC27,7,2023,absent,1,,,,,,,,,,
82,BMSC27,9,2023,absent,2,,,,,,,,,,
86,BMSC3,7.5,2023,absent,0,,,,,,,,,,
88,BMSC4,8.5,2023,absent,0,,,,,,,,,,
97,BMSC5,8,2023,absent,34,,,,,,,,,,
98,BMSC6,5.5,2023,absent,1,,,,,,,,,,
103,BMSC6,10,2023,absent,0,,,,,,,,,,
107,BMSC8,7.5,2023,absent,0,,,,,,,,,,
111,BMSC8,9,2023,absent,0,,,,,,,,,,
113,BMSC9,6,2023,absent,0,,,,,,,,,,
78,BMSC26,9.5,2023,forest,17,,,,,,,,,,
79,BMSC26,10,2023,forest,13,,,,,,,,,,
90,BMSC5,5.5,2023,forest,2,,,,,,,,,,
16,BMSC11,5.5,2023,low,2,,,,,,,,,,
17,BMSC11,7.5,2023,low,1,,,,,,,,,,
61,BMSC22,5.5,2023,low,0,,,,,,,,,,
11,BMSC10,4,2023,understory,21,,,,,,,,,,
14,BMSC11,5,2024,absent,0,,,,,,,,,,
18,BMSC11,7.5,2024,absent,0,,,,,,,,,,
20,BMSC12,4.5,2024,absent,2,,,,,,,,,,
24,BMSC12,7,2024,absent,1,,,,,,,,,,
27,BMSC13,3,2024,absent,3,,,,,,,,,,
31,BMSC14,6,2024,absent,0,,,,,,,,,,
39,BMSC16,7.5,2024,absent,0,,,,,,,,,,
42,BMSC17,5.8,2024,absent,1,,,,,,,,,,
45,BMSC18,8.5,2024,absent,0,,,,,,,,,,
49,BMSC19,8.5,2024,absent,0,,,,,,,,,,
50,BMSC2,4,2024,absent,1,,,,,,,,,,
55,BMSC20,6.7,2024,absent,1,,,,,,,,,,
60,BMSC21,6.5,2024,absent,0,,,,,,,,,,
62,BMSC22,5.5,2024,absent,0,,,,,,,,,,
66,BMSC23,6.7,2024,absent,0,,,,,,,,,,
68,BMSC24,5.5,2024,absent,0,,,,,,,,,,
70,BMSC24,10,2024,absent,0,,,,,,,,,,
73,BMSC25,5.5,2024,absent,0,,,,,,,,,,
75,BMSC25,6,2024,absent,0,,,,,,,,,,
81,BMSC27,8.5,2024,absent,0,,,,,,,,,,
84,BMSC3,6,2024,absent,0,,,,,,,,,,
89,BMSC4,8.5,2024,absent,0,,,,,,,,,,
92,BMSC5,6,2024,absent,2,,,,,,,,,,
101,BMSC6,8,2024,absent,0,,,,,,,,,,
104,BMSC6,11,2024,absent,0,,,,,,,,,,
108,BMSC8,7.5,2024,absent,0,,,,,,,,,,
109,BMSC8,8.5,2024,absent,0,,,,,,,,,,
115,BMSC9,6.5,2024,absent,0,,,,,,,,,,
33,BMSC15,6.5,2024,forest,1,,,,,,,,,,
36,BMSC15,6.5,2024,forest,3,,,,,,,,,,
76,BMSC26,6.5,2024,forest,6,,,,,,,,,,
77,BMSC26,8,2024,forest,1,,,,,,,,,,
12,BMSC10,4.5,2024,low,3,,,,,,,,,,
93,BMSC5,6,2024,low,7,,,,,,,,,,
96,BMSC5,6.5,2024,low,0,,,,,,,,,,
4,BMSC1,5,2024,understory,1,,,,,,,,,,
9,BMSC1,6.5,2024,understory,1,,,,,,,,,,